"sample","Kracken_Unclassified","Kracken_Bacteria","Kracken_Mycobacterium","Kracken_MTBC","Kracken_M.tuberculosis","Kraken_human","Kracken_Bacteria_Myco_Ratio","Kracken_Myco_MTBC_Ratio","Bacterial_Contamination","Mycobacterial_Contamination"
"DRR099683",0.03,99.71,99.56,29.28,15.25,0,1.00150662916834,3.40027322404372,"no","no"
"DRR099684",0.16,99.41,99.11,30.27,15.52,0.01,1.0030269397639,3.27419887677569,"no","no"
"DRR099685",0.16,99.16,98.79,30.46,15.72,0.01,1.00374531835206,3.24326986211425,"no","no"
"DRR099686",0.13,99.34,99.02,30.04,15.36,0.01,1.00323167036962,3.29627163781625,"no","no"
"DRR099687",0.15,99.35,99.07,30.17,15.59,0.01,1.00282628444534,3.28372555518727,"no","no"
"DRR099688",0.08,99.79,99.5,29.02,15.01,0,1.00291457286432,3.42866988283942,"no","no"
"DRR099689",1.58,98.06,77.06,22.92,11.79,0.01,1.27251492343628,3.36212914485166,"Possible contamination","no"
"DRR099690",0.13,99.36,99.07,29.86,15.37,0.01,1.00292722317553,3.31781647689216,"no","no"
"DRR099691",0.15,99.35,99.04,29.59,15.13,0.01,1.00313004846527,3.34707671510646,"no","no"
"DRR099693",0.03,99.8,99.61,28,14.52,0,1.00190743901215,3.5575,"no","no"
"DRR099694",0.14,99.36,99.08,30.02,15.35,0.01,1.00282599919257,3.30046635576282,"no","no"
"ERR3256109",0.03,99.96,99.89,29.01,15.51,0,1.00070077084793,3.44329541537401,"no","no"
"ERR3256110",0.04,99.95,99.91,28.38,15.36,0,1.00040036032429,3.52043692741367,"no","no"
"ERR3256111",0.02,99.97,99.92,29.6,16.06,0,1.00050040032026,3.37567567567568,"no","no"
"ERR3256112",0.09,99.91,99.79,25.47,13.41,0,1.00120252530314,3.91794267765999,"no","no"
"ERR3256113",0.03,99.97,99.89,28.4,14.85,0,1.00080088096907,3.51725352112676,"no","no"
"ERR3256114",0.08,99.92,99.82,25.26,13.54,0,1.00100180324584,3.95170229612035,"no","no"
"ERR3256115",0.05,99.95,99.88,25.16,13.21,0,1.00070084100921,3.9697933227345,"no","no"
"ERR3256116",0.05,99.93,99.89,26.5,13.36,0.01,1.00040044048453,3.76943396226415,"no","no"
"ERR3256117",0.02,99.98,99.94,29.55,15.98,0,1.00040024014409,3.38206429780034,"no","no"
